Luas Bangunan,Luas Tanah,Jumlah Lantai,Lokasi,Tipe Perumahan,Pagar,Bentuk Tanah,Lebar Jalan,Daya Listrik,Jumlah Carport,Material,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Air,Jumlah Fasilitas Tambahan,Harga
45,108,1,1,1,1,0,4,1300,0,0,2,1,0,0,490000000
200,260,2,1,0,0,0,5,2200,1,1,4,2,0,0,3200000000
170,120,2,1,0,0,0,6,1300,0,0,5,3,0,1,950000000
100,120,1,1,0,0,0,4,1300,0,0,3,1,0,0,850000000
150,90,2,1,0,0,0,4,1300,1,0,4,2,0,0,595000000
160,204,1,1,0,0,0,5,2200,2,1,4,2,0,0,1500000000
45,91,1,1,1,1,0,4,1300,1,0,2,2,0,0,650000000
50,119,1,1,0,0,0,4,1300,0,0,2,1,0,0,650000000
218,240,2,1,0,0,0,4,2200,3,1,5,3,2,2,2500000000
56,96,1,1,0,1,0,4,1300,0,0,2,1,0,0,450000000
60,114,1,1,0,0,0,4,1300,1,0,2,1,0,0,650000000
90,108,1,1,0,0,0,5,2200,1,0,3,2,1,0,795000000
200,220,1,1,0,0,0,4,1300,1,0,4,3,2,1,1650000000
197,312,1,0,0,1,0,4,2200,1,1,5,3,1,0,3750000000
250,330,2,1,0,0,0,4,2200,6,2,4,3,2,0,3200000000
130,153,1,1,0,0,0,9,2200,2,1,3,2,0,0,2150000000
90,153,1,1,1,0,0,4,2200,0,0,4,1,1,1,900000000
100,156,1,1,1,0,0,5,2200,2,1,3,2,1,0,1800000000
90,86,1,1,0,0,0,4,900,1,0,4,1,0,0,525000000
250,515,2,1,0,0,0,4,2200,3,1,6,3,2,0,4650000000
180,147,2,1,0,0,0,3,1300,1,2,5,3,0,2,1450000000
100,144,1,1,0,0,0,3,900,1,0,3,1,0,3,480000000
500,500,2,1,0,0,0,4,4400,3,2,4,4,0,2,6400000000
130,96,2,1,0,0,0,4,1300,1,0,4,2,2,0,750000000
60,191,1,1,0,0,0,3,450,0,0,2,1,0,0,1000000000
150,101,2,0,0,0,0,4,1300,1,2,5,4,0,0,1900000000
200,120,3,1,0,0,0,4,1200,1,2,4,3,2,0,1300000000
160,204,1,1,0,0,0,6,2200,2,2,4,2,0,3,1500000000
270,240,2,1,0,0,0,4,2200,2,1,5,4,0,1,2650000000
38,100,1,1,0,0,0,3,1300,1,0,2,1,0,2,455000000
52,70,1,1,0,0,0,4,1300,1,0,2,1,0,2,496050000
52,100,1,1,0,0,0,4,1300,1,0,2,1,0,2,617202500
40,84,1,1,0,0,0,3,1300,1,0,2,1,0,2,360000000
86,90,1,1,0,0,0,4,1300,1,0,2,1,0,2,550000000
115,60,2,1,1,0,0,4,1300,1,0,3,2,0,6,765000000
49,120,1,1,1,1,0,3,2200,1,0,2,1,0,2,530130000
49,144,1,1,1,1,0,3,2200,1,0,2,1,0,2,594090000
68,144,1,1,1,1,0,3,2200,1,0,2,1,0,2,666660000
68,168,1,1,1,1,0,3,2200,1,0,2,1,0,2,731850000
95,160,1,1,0,0,0,3,2200,1,0,2,1,0,2,920040000
75,240,1,1,0,0,0,4,2200,1,0,2,1,0,2,1057800000
231,160,2,1,0,0,0,5,2200,1,0,4,2,0,2,1296420000
200,240,1,1,0,0,0,4,2200,1,0,3,1,0,2,1608840000
36,72,1,1,1,1,0,3,1300,1,0,2,1,2,2,287000000
45,90,1,1,1,1,0,3,1300,1,0,2,1,2,2,356000000
50,90,1,1,1,1,0,3,1300,1,0,2,1,2,2,471000000
70,150,1,1,1,1,0,3,1300,1,0,2,1,2,2,541000000
70,212,1,1,1,1,0,3,1300,1,0,2,1,2,2,720000000
100,90,2,1,0,0,0,3,2200,1,2,2,2,2,4,1451500000
112,132,1,1,0,0,0,3,2200,1,2,3,1,2,4,1892100000
123,145,1,1,0,0,0,3,2200,1,2,3,1,2,4,2077600000
150,188,1,1,0,0,0,3,2200,1,2,3,1,2,4,2627800000
200,276,1,1,0,0,0,3,2200,1,2,3,1,2,4,3718400000
36,78,1,1,1,1,0,3,1300,1,0,2,1,2,2,340000000
36,81,1,1,1,1,0,3,1300,1,0,2,1,2,2,347500000
38,72,1,1,1,1,0,3,1300,1,0,2,1,2,2,340000000
38,81,1,1,1,1,0,3,1300,1,0,2,1,2,2,362500000
45,84,1,1,1,1,0,3,1300,1,0,2,1,2,2,400000000
68,120,1,1,1,1,0,3,1300,1,0,2,1,2,2,570000000
45,90,1,0,1,1,0,4,1300,1,0,2,1,0,2,331900000
45,98,1,0,1,1,0,4,1300,1,0,2,1,0,2,347080000
45,103,1,0,1,1,0,4,1300,1,0,2,1,0,2,356567000
70,152,1,0,1,1,0,4,1300,1,0,2,1,0,2,529872000
70,158,1,0,1,1,0,4,1300,1,0,2,1,0,2,541257000
70,160,1,0,1,1,0,4,1300,1,0,2,1,0,2,545052000
78,126,1,1,0,0,0,2,1300,1,0,2,1,0,3,920599262
85,216,1,1,0,0,0,2,1300,2,0,2,1,0,3,1332183225
74,126,1,1,0,0,0,2,1300,1,0,2,1,0,3,860000000
74,141,1,1,0,0,0,2,1300,1,0,2,1,0,3,920375000
71,105,1,1,0,0,0,2,1300,1,0,2,1,0,3,763400000
100,218,1,1,0,0,0,2,1300,1,1,3,1,0,3,1334950000
140,126,2,1,0,0,0,2,1300,1,1,4,2,0,3,1357900000
168,228,1,1,0,0,0,2,1300,1,1,4,2,0,3,1860900000
115,90,2,1,1,1,0,3,2200,1,1,4,4,2,4,1100000000
115,90,2,1,1,1,0,3,2200,1,1,3,4,2,4,1050000000
125,112,2,1,1,1,1,3,2200,1,1,4,4,2,4,1250000000
50,105,1,1,0,0,0,3,2200,1,0,1,1,2,2,452925000
87,278,1,1,0,0,0,3,2200,3,0,2,1,2,2,939300000
115,145,2,1,0,0,0,3,2200,1,0,2,1,2,2,1152500000
40,75,1,1,1,1,0,2,1300,1,0,1,1,2,2,475750000
45,83,1,1,1,1,0,2,1300,1,0,1,1,2,2,522250000
55,84,1,1,1,1,0,2,1300,1,0,1,1,2,2,572500000
60,84,1,1,1,1,0,2,1300,1,0,2,1,2,2,599250000
60,93,1,1,1,1,0,2,1300,1,0,2,1,2,2,640500000
78,84,2,1,0,0,0,2,1300,1,0,2,1,2,2,676750000
90,98,2,1,0,0,0,2,1300,1,0,2,1,2,2,819250000
99,183,1,1,1,1,0,4,2200,1,2,3,4,0,6,1912900000
99,205,1,1,1,1,0,4,2200,1,2,3,4,0,6,2047210000
126,215,1,1,1,1,0,4,2200,1,2,3,4,0,6,2109140000
126,218,1,1,1,1,0,4,2200,1,2,3,4,0,6,2362800000
143,212,1,1,0,0,0,4,2200,1,2,4,4,0,6,2600400000
166,285,1,1,0,0,0,4,2200,1,2,4,4,0,6,3622850000
106,198,1,1,1,1,0,4,2200,2,2,3,4,0,6,2077570000
106,284,1,1,1,1,0,4,2200,3,2,3,4,0,6,2790590000
135,256,1,1,1,1,0,4,2200,3,2,6,6,0,6,2395800000
135,582,1,1,1,1,0,4,2200,4,2,6,6,0,6,4969360000
